strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA50_200_RSI35_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,35,100,0,TLT,0,True,35.0,52662.26,51.64,-73.24,1.0766,0.7051,115,15.1,52762257.2
SMA100_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vixNone,100,200,50,75,25,TLT,2,True,,4219797.15,102.87,-50.63,1.0755,2.0318,370,15.1,4219897146.15
SMA100_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,45,75,25,TLT,0,True,35.0,4050597.61,102.32,-66.15,1.0736,1.5467,310,15.1,4050697614.18
SMA50_200_RSI35_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,35,100,0,SHY,0,True,35.0,45731.63,50.23,-67.68,1.0658,0.7422,115,15.1,45831630.89
SMA50_200_RSI35_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,35,100,0,TLT,2,True,35.0,48651.54,50.85,-71.73,1.0651,0.7089,115,15.1,48751538.76
SMA100_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vixNone,100,200,50,75,25,TLT,0,True,,3586415.75,100.69,-49.68,1.0621,2.0268,370,15.1,3586515750.24
SMA50_200_RSI35_UPRO100_cash_delay0_cautionTrue_vix35,50,200,35,100,0,cash,0,True,35.0,44334.46,49.92,-66.85,1.0614,0.7468,115,15.1,44434459.41
SMA50_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vix35,50,200,50,75,25,SHY,0,True,35.0,3242620.85,99.35,-42.07,1.0596,2.3616,390,15.1,3242720849.78
SMA50_200_RSI35_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,35,100,0,SHY,2,True,35.0,43765.25,49.79,-66.34,1.0589,0.7506,115,15.1,43865247.68
SMA50_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vix35,50,200,50,75,25,SHY,2,True,35.0,3155652.89,98.99,-41.0,1.0573,2.4142,390,15.1,3155752891.64
SMA50_200_RSI35_UPRO100_cash_delay2_cautionTrue_vix35,50,200,35,100,0,cash,2,True,35.0,42675.22,49.54,-65.51,1.0554,0.7562,115,15.1,42775224.89
SMA50_200_RSI50_UPRO75_cash_delay0_cautionTrue_vix35,50,200,50,75,25,cash,0,True,35.0,3048194.59,98.53,-39.63,1.0543,2.4862,390,15.1,3048294590.13
SMA50_200_RSI50_UPRO75_cash_delay2_cautionTrue_vix35,50,200,50,75,25,cash,2,True,35.0,2983005.65,98.25,-38.53,1.0525,2.5502,390,15.1,2983105649.2
SMA100_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,45,75,25,SHY,2,True,35.0,2720426.39,97.04,-61.91,1.0419,1.5675,308,15.1,2720526390.04
SMA100_200_RSI45_UPRO75_cash_delay2_cautionTrue_vix35,100,200,45,75,25,cash,2,True,35.0,2533750.09,96.11,-61.88,1.0361,1.5531,308,15.1,2533850090.22
SMA50_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vixNone,50,200,50,75,25,TLT,2,True,,2470195.43,95.78,-56.7,1.0323,1.6892,374,15.1,2470295425.63
SMA100_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,45,75,25,SHY,0,True,35.0,2397726.14,95.39,-61.91,1.0316,1.5409,310,15.1,2397826136.2
