variant_name,sma_fast,sma_slow,rsi_entry,upro_pct,tqqq_pct,defensive,confirm_days,bull_caution,vix_kill,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,transitions,best_year,worst_year,year_2022_return
SMA100_200_RSI50_U100T0_TLT_C2_BC,100,200,50,100,0,TLT,2,True,False,1.94,0.32,0.229,0.2109,-72.13,0.0045,118,2024: +43.37%,2022: -68.52%,-68.52
SMA50_200_RSI45_U100T0_CASH_C0_BC,50,200,45,100,0,CASH,0,True,False,1.11,0.18,0.2273,0.1831,-73.57,0.0025,94,2021: +58.88%,2022: -66.54%,-66.54
SMA100_200_RSI45_U100T0_SHY_C0_BC_VIX35,100,200,45,100,0,SHY,0,True,35,1.58,0.26,0.2272,0.1972,-69.78,0.0038,99,2023: +56.49%,2022: -66.42%,-66.42
SMA50_200_RSI40_U75T25_CASH_C0_BC,50,200,40,75,25,CASH,0,True,False,-3.79,-0.64,0.226,0.1861,-73.49,-0.0087,176,2021: +85.70%,2022: -68.89%,-68.89
SMA50_200_RSI35_U100T0_CASH_C0_BC_VIX35,50,200,35,100,0,CASH,0,True,35,-0.97,-0.16,0.2254,0.1844,-74.04,-0.0022,41,2021: +94.84%,2022: -68.70%,-68.7
SMA100_200_RSI50_U100T0_TLT_C0_BC,100,200,50,100,0,TLT,0,True,False,0.75,0.12,0.2237,0.2061,-72.13,0.0017,117,2024: +43.37%,2022: -68.52%,-68.52
SMA50_200_RSI45_U100T0_SHY_C2_BC,50,200,45,100,0,SHY,2,True,False,0.17,0.03,0.2231,0.1977,-74.39,0.0004,95,2021: +58.38%,2022: -67.83%,-67.83
SMA50_200_RSI40_U75T25_SHY_C2_BC,50,200,40,75,25,SHY,2,True,False,-4.52,-0.77,0.223,0.2013,-74.23,-0.0104,177,2021: +85.75%,2022: -70.01%,-70.01
SMA50_200_RSI35_U100T0_CASH_C2_noBC_VIX35,50,200,35,100,0,CASH,2,False,35,-1.82,-0.31,0.2198,0.1769,-75.39,-0.0041,39,2021: +92.07%,2022: -69.71%,-69.71
SMA50_200_RSI35_U100T0_SHY_C2_BC_VIX35,50,200,35,100,0,SHY,2,True,35,-3.06,-0.52,0.2163,0.1939,-74.86,-0.0069,43,2021: +94.82%,2022: -69.78%,-69.78
SMA100_200_RSI40_U100T0_TLT_C2_BC_VIX35,100,200,40,100,0,TLT,2,True,35,-3.46,-0.59,0.2162,0.2024,-72.69,-0.0081,67,2021: +87.65%,2022: -70.62%,-70.62
SMA50_200_RSI45_U100T0_SHY_C0_BC,50,200,45,100,0,SHY,0,True,False,-1.39,-0.23,0.2161,0.1915,-74.39,-0.0031,94,2021: +58.38%,2022: -67.83%,-67.83
SMA50_200_RSI40_U75T25_SHY_C0_BC,50,200,40,75,25,SHY,0,True,False,-6.32,-1.08,0.2153,0.1944,-74.23,-0.0146,176,2021: +85.75%,2022: -70.01%,-70.01
SMA100_200_RSI40_U75T25_CASH_C2_noBC,100,200,40,75,25,CASH,2,False,False,-6.09,-1.04,0.2126,0.1672,-71.65,-0.0145,175,2021: +75.59%,2022: -67.97%,-67.97
SMA50_200_RSI35_U100T0_CASH_C0_noBC_VIX35,50,200,35,100,0,CASH,0,False,35,-3.66,-0.62,0.2116,0.1705,-75.39,-0.0082,39,2021: +92.07%,2022: -69.71%,-69.71
SMA100_200_RSI45_U75T25_TLT_C2_BC,100,200,45,75,25,TLT,2,True,False,-6.33,-1.09,0.2114,0.1974,-76.63,-0.0142,208,2023: +63.12%,2022: -73.61%,-73.61
SMA100_200_RSI40_U100T0_TLT_C0_BC_VIX35,100,200,40,100,0,TLT,0,True,35,-4.59,-0.78,0.2112,0.1978,-72.69,-0.0108,66,2021: +87.65%,2022: -70.62%,-70.62
SMA100_200_RSI40_U75T25_SHY_C2_noBC,100,200,40,75,25,SHY,2,False,False,-6.68,-1.15,0.2101,0.1862,-71.76,-0.016,176,2021: +75.68%,2022: -68.78%,-68.78
SMA50_200_RSI35_U100T0_SHY_C0_BC_VIX35,50,200,35,100,0,SHY,0,True,35,-4.57,-0.78,0.2096,0.1879,-74.86,-0.0104,42,2021: +94.82%,2022: -69.78%,-69.78
SMA50_200_RSI35_U75T25_CASH_C2_noBC,50,200,35,75,25,CASH,2,False,False,-7.99,-1.38,0.2075,0.1678,-76.56,-0.018,152,2021: +89.71%,2022: -71.74%,-71.74
SMA100_200_RSI45_U75T25_TLT_C0_BC,100,200,45,75,25,TLT,0,True,False,-7.73,-1.33,0.2052,0.1917,-76.63,-0.0174,207,2023: +63.12%,2022: -73.61%,-73.61
SMA50_200_RSI50_U100T0_CASH_C2_BC,50,200,50,100,0,CASH,2,True,False,-2.14,-0.36,0.2051,0.1617,-69.23,-0.0052,117,2021: +40.50%,2022: -62.34%,-62.34
SMA100_200_RSI40_U100T0_CASH_C2_noBC_VIX35,100,200,40,100,0,CASH,2,False,35,-4.44,-0.75,0.2043,0.1594,-69.25,-0.0109,63,2021: +76.82%,2022: -65.30%,-65.3
SMA50_200_RSI35_U100T0_SHY_C2_noBC_VIX35,50,200,35,100,0,SHY,2,False,35,-5.35,-0.91,0.204,0.1821,-76.08,-0.012,43,2021: +92.03%,2022: -70.74%,-70.74
SMA100_200_RSI40_U75T25_CASH_C0_noBC,100,200,40,75,25,CASH,0,False,False,-8.14,-1.41,0.2035,0.1603,-71.65,-0.0196,175,2021: +75.59%,2022: -67.97%,-67.97
