strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA50_200_RSI40_UPRO75_cash_delay2_cautionTrue_vix35,50,200,40,75,25,cash,2,True,35.0,1694.2,52.65,-63.92,1.2082,0.8238,43.4,84,6.8,1794199.58
SMA50_200_RSI40_UPRO75_SHY_delay2_cautionTrue_vix35,50,200,40,75,25,SHY,2,True,35.0,1693.01,52.64,-65.0,1.2076,0.8098,48.2,84,6.8,1793008.0
SMA100_200_RSI40_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,40,75,25,TLT,0,True,35.0,1825.5,54.24,-66.25,1.1981,0.8187,48.4,92,6.8,1925496.89
SMA50_200_RSI40_UPRO75_TLT_delay0_cautionTrue_vix35,50,200,40,75,25,TLT,0,True,35.0,1575.74,51.13,-71.57,1.1634,0.7144,48.2,84,6.8,1675741.19
SMA50_200_RSI40_UPRO75_TLT_delay2_cautionTrue_vix35,50,200,40,75,25,TLT,2,True,35.0,1490.01,49.97,-70.78,1.1466,0.7061,48.2,84,6.8,1590014.69
SMA100_200_RSI35_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,35,100,0,SHY,2,True,35.0,1287.64,47.01,-62.19,1.1322,0.756,44.8,59,6.8,1387638.14
SMA100_200_RSI35_UPRO100_cash_delay2_cautionTrue_vix35,100,200,35,100,0,cash,2,True,35.0,1269.43,46.73,-62.15,1.128,0.7519,32.8,59,6.8,1369430.75
SMA100_200_RSI35_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,35,100,0,TLT,2,True,35.0,1262.61,46.62,-68.61,1.1055,0.6796,41.4,59,6.8,1362609.43
SMA50_200_RSI35_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,35,100,0,SHY,0,True,35.0,1093.62,43.8,-67.68,1.0947,0.6473,43.4,54,6.8,1193623.09
SMA50_200_RSI35_UPRO100_cash_delay0_cautionTrue_vix35,50,200,35,100,0,cash,0,True,35.0,1092.03,43.78,-66.85,1.0945,0.6549,34.0,54,6.8,1192027.11
SMA50_200_RSI35_UPRO100_cash_delay2_cautionTrue_vix35,50,200,35,100,0,cash,2,True,35.0,1075.2,43.48,-65.51,1.0894,0.6636,34.0,54,6.8,1175196.83
SMA100_200_RSI35_UPRO100_SHY_delay0_cautionTrue_vix35,100,200,35,100,0,SHY,0,True,35.0,1116.86,44.21,-62.19,1.0886,0.711,44.1,60,6.8,1216864.9
SMA50_200_RSI35_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,35,100,0,SHY,2,True,35.0,1072.74,43.43,-66.34,1.0884,0.6547,41.5,54,6.8,1172736.16
SMA100_200_RSI35_UPRO100_cash_delay0_cautionTrue_vix35,100,200,35,100,0,cash,0,True,35.0,1112.95,44.14,-62.15,1.0878,0.7103,33.9,60,6.8,1212949.77
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,40,100,0,SHY,2,True,,1267.74,46.7,-60.39,1.064,0.7733,48.1,80,6.8,1367736.05
SMA100_200_RSI40_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,40,100,0,cash,2,True,,1255.49,46.51,-60.26,1.0611,0.7718,45.6,80,6.8,1355488.53
SMA100_200_RSI35_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,35,100,0,TLT,0,True,35.0,1055.3,43.12,-67.15,1.0521,0.6421,44.1,60,6.8,1155300.6
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,40,100,0,TLT,2,True,,1238.61,46.24,-67.1,1.0496,0.6891,46.8,80,6.8,1338605.5
SMA100_200_RSI35_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,35,75,25,SHY,2,True,35.0,1117.16,44.22,-63.99,1.044,0.691,44.8,59,6.8,1217163.95
SMA100_200_RSI35_UPRO75_cash_delay2_cautionTrue_vix35,100,200,35,75,25,cash,2,True,35.0,1101.25,43.94,-63.95,1.0401,0.687,32.8,59,6.8,1201251.16
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,40,100,0,SHY,0,True,,1139.93,44.61,-60.39,1.035,0.7387,46.8,80,6.8,1239934.84
SMA100_200_RSI40_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,40,100,0,cash,0,True,,1139.81,44.61,-60.26,1.0349,0.7402,45.6,80,6.8,1239812.71
SMA100_200_RSI40_UPRO75_SHY_delay2_cautionTrue_vixNone,100,200,40,75,25,SHY,2,True,,1252.01,46.45,-62.48,1.0331,0.7435,46.8,80,6.8,1352014.58
