strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA100_200_RSI45_UPRO100_TLT_delay2_cautionFalse,100,200,45,100,0,TLT,2,False,138.51,18.32,-75.56,0.6206,0.2425,50.0,5,5.2,238512.25
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionFalse,100,200,40,100,0,TLT,2,False,138.51,18.32,-75.56,0.6206,0.2425,50.0,5,5.2,238512.25
SMA100_200_RSI35_UPRO100_TLT_delay2_cautionFalse,100,200,35,100,0,TLT,2,False,138.51,18.32,-75.56,0.6206,0.2425,50.0,5,5.2,238512.25
SMA100_200_RSI50_UPRO100_TLT_delay2_cautionFalse,100,200,50,100,0,TLT,2,False,138.51,18.32,-75.56,0.6206,0.2425,50.0,5,5.2,238512.25
SMA100_200_RSI40_UPRO100_TLT_delay0_cautionFalse,100,200,40,100,0,TLT,0,False,118.17,16.3,-74.72,0.5849,0.2181,75.0,5,5.2,218173.79
SMA100_200_RSI45_UPRO100_TLT_delay0_cautionFalse,100,200,45,100,0,TLT,0,False,118.17,16.3,-74.72,0.5849,0.2181,75.0,5,5.2,218173.79
SMA100_200_RSI35_UPRO100_TLT_delay0_cautionFalse,100,200,35,100,0,TLT,0,False,118.17,16.3,-74.72,0.5849,0.2181,75.0,5,5.2,218173.79
SMA100_200_RSI50_UPRO100_TLT_delay0_cautionFalse,100,200,50,100,0,TLT,0,False,118.17,16.3,-74.72,0.5849,0.2181,75.0,5,5.2,218173.79
SMA100_200_RSI45_UPRO75_cash_delay2_cautionFalse,100,200,45,75,25,cash,2,False,100.87,14.45,-71.76,0.5549,0.2014,25.0,5,5.2,200871.76
SMA100_200_RSI50_UPRO75_cash_delay2_cautionFalse,100,200,50,75,25,cash,2,False,100.87,14.45,-71.76,0.5549,0.2014,25.0,5,5.2,200871.76
SMA100_200_RSI35_UPRO75_cash_delay2_cautionFalse,100,200,35,75,25,cash,2,False,100.87,14.45,-71.76,0.5549,0.2014,25.0,5,5.2,200871.76
SMA100_200_RSI40_UPRO75_cash_delay2_cautionFalse,100,200,40,75,25,cash,2,False,100.87,14.45,-71.76,0.5549,0.2014,25.0,5,5.2,200871.76
SMA100_200_RSI45_UPRO75_SHY_delay2_cautionFalse,100,200,45,75,25,SHY,2,False,97.44,14.07,-72.25,0.5484,0.1948,50.0,5,5.2,197444.19
SMA100_200_RSI35_UPRO75_SHY_delay2_cautionFalse,100,200,35,75,25,SHY,2,False,97.44,14.07,-72.25,0.5484,0.1948,50.0,5,5.2,197444.19
SMA100_200_RSI50_UPRO75_SHY_delay2_cautionFalse,100,200,50,75,25,SHY,2,False,97.44,14.07,-72.25,0.5484,0.1948,50.0,5,5.2,197444.19
SMA100_200_RSI40_UPRO75_SHY_delay2_cautionFalse,100,200,40,75,25,SHY,2,False,97.44,14.07,-72.25,0.5484,0.1948,50.0,5,5.2,197444.19
SMA50_200_RSI35_UPRO100_cash_delay2_cautionFalse,50,200,35,100,0,cash,2,False,97.61,14.09,-72.56,0.5483,0.1942,50.0,5,5.2,197611.95
SMA50_200_RSI40_UPRO100_cash_delay2_cautionFalse,50,200,40,100,0,cash,2,False,97.61,14.09,-72.56,0.5483,0.1942,50.0,5,5.2,197611.95
SMA50_200_RSI45_UPRO100_cash_delay2_cautionFalse,50,200,45,100,0,cash,2,False,97.61,14.09,-72.56,0.5483,0.1942,50.0,5,5.2,197611.95
SMA50_200_RSI50_UPRO100_cash_delay2_cautionFalse,50,200,50,100,0,cash,2,False,97.61,14.09,-72.56,0.5483,0.1942,50.0,5,5.2,197611.95
SMA100_200_RSI45_UPRO75_cash_delay0_cautionFalse,100,200,45,75,25,cash,0,False,93.28,13.6,-72.17,0.5403,0.1885,25.0,5,5.2,193279.27
SMA100_200_RSI40_UPRO75_cash_delay0_cautionFalse,100,200,40,75,25,cash,0,False,93.28,13.6,-72.17,0.5403,0.1885,25.0,5,5.2,193279.27
SMA100_200_RSI50_UPRO75_cash_delay0_cautionFalse,100,200,50,75,25,cash,0,False,93.28,13.6,-72.17,0.5403,0.1885,25.0,5,5.2,193279.27
SMA100_200_RSI35_UPRO75_cash_delay0_cautionFalse,100,200,35,75,25,cash,0,False,93.28,13.6,-72.17,0.5403,0.1885,25.0,5,5.2,193279.27
