date,step2_state,combined_state,vix,spy_close,spxu_close,svix_close,svix_available,spxu_shares,svix_shares,spxu_value,svix_value,cash,portfolio_value,allocation,data_source
2023-11-10,BULL_100,BULL_100,14.17,439.96,11.0,29.75,YES,0.0,0.0,0.0,0.0,297239.01,297239.01,0.0,databento
2023-11-13,BULL_100,BULL_100,14.76,440.38,10.99,30.59,YES,0.0,0.0,0.0,0.0,298097.65,298097.65,0.0,databento
2023-11-14,BULL_100,BULL_100,14.16,449.35,10.32,30.93,YES,0.0,0.0,0.0,0.0,316509.28,316509.28,0.0,databento
2023-11-15,BULL_100,BULL_100,14.18,449.36,10.34,31.34,YES,0.0,0.0,0.0,0.0,315814.61,315814.61,0.0,databento
2023-11-16,BULL_100,BULL_100,14.32,450.38,10.28,31.82,YES,0.0,0.0,0.0,0.0,317486.3,317486.3,0.0,databento
2023-11-17,BULL_100,BULL_100,13.8,450.25,10.28,32.37,YES,0.0,0.0,0.0,0.0,317658.93,317658.93,0.0,databento
2023-11-20,BULL_100,BULL_100,13.41,454.41,10.02,32.52,YES,0.0,0.0,0.0,0.0,327037.89,327037.89,0.0,databento
2023-11-21,BULL_100,BULL_100,13.35,452.73,10.14,33.15,YES,0.0,0.0,0.0,0.0,321810.06,321810.06,0.0,databento
2023-11-22,BULL_100,BULL_100,12.85,454.71,10.01,32.9,YES,0.0,0.0,0.0,0.0,326233.97,326233.97,0.0,databento
2023-11-24,BULL_100,BULL_100,12.46,455.39,9.98,34.3,YES,0.0,0.0,0.0,0.0,326597.49,326597.49,0.0,databento
2023-11-27,BULL_100,BULL_100,12.69,454.81,10.02,34.18,YES,0.0,0.0,0.0,0.0,325634.14,325634.14,0.0,databento
2023-11-28,BULL_100,BULL_100,12.69,455.02,10.01,34.66,YES,0.0,0.0,0.0,0.0,326584.54,326584.54,0.0,databento
2023-11-29,BULL_100,BULL_100,12.98,454.88,10.03,34.19,YES,0.0,0.0,0.0,0.0,326160.73,326160.73,0.0,databento
2023-11-30,BULL_100,BULL_100,12.92,456.09,9.96,34.38,YES,0.0,0.0,0.0,0.0,326560.72,326560.72,0.0,databento
2023-12-01,BULL_100,BULL_100,12.63,459.74,9.75,34.86,YES,0.0,0.0,0.0,0.0,333635.25,333635.25,0.0,databento
2023-12-04,BULL_100,BULL_100,13.08,455.95,9.98,34.55,YES,0.0,0.0,0.0,0.0,324398.92,324398.92,0.0,databento
2023-12-05,BULL_100,BULL_100,12.85,456.74,9.93,34.7,YES,0.0,0.0,0.0,0.0,326786.89,326786.89,0.0,databento
2023-12-06,BULL_100,BULL_100,12.97,454.51,10.08,34.61,YES,0.0,0.0,0.0,0.0,321375.39,321375.39,0.0,databento
2023-12-07,BULL_100,BULL_100,13.06,457.76,9.88,34.48,YES,0.0,0.0,0.0,0.0,329490.14,329490.14,0.0,databento
2023-12-08,BULL_100,BULL_100,12.35,460.4,9.73,35.45,YES,0.0,0.0,0.0,0.0,334363.3,334363.3,0.0,databento
2023-12-11,BULL_100,BULL_100,12.63,462.03,9.62,36.26,YES,0.0,0.0,0.0,0.0,339479.96,339479.96,0.0,databento
2023-12-12,BULL_100,BULL_100,12.07,464.71,9.46,37.28,YES,0.0,0.0,0.0,0.0,346350.66,346350.66,0.0,databento
2023-12-13,BULL_100,BULL_100,12.19,471.31,9.1,37.71,YES,0.0,0.0,0.0,0.0,359961.64,359961.64,0.0,databento
2023-12-14,BULL_TRIMMED,BULL_TRIMMED,12.48,471.69,9.06,37.87,YES,0.0,0.0,0.0,0.0,360350.75,360350.75,0.0,databento
2023-12-15,BULL_TRIMMED,BULL_TRIMMED,12.28,469.95,9.06,36.8,YES,0.0,0.0,0.0,0.0,361398.41,361398.41,0.0,databento
2023-12-18,BULL_TRIMMED,BULL_TRIMMED,12.56,471.79,8.96,36.67,YES,0.0,0.0,0.0,0.0,365075.07,365075.07,0.0,databento
2023-12-19,BULL_TRIMMED,BULL_TRIMMED,12.53,474.6,8.79,36.05,YES,0.0,0.0,0.0,0.0,369921.36,369921.36,0.0,databento
2023-12-20,BULL_TRIMMED,BULL_TRIMMED,13.67,468.86,8.92,33.91,YES,0.0,0.0,0.0,0.0,358770.92,358770.92,0.0,databento
2023-12-21,BULL_TRIMMED,BULL_TRIMMED,13.65,472.59,8.72,34.7,YES,0.0,0.0,0.0,0.0,364788.38,364788.38,0.0,databento
2023-12-22,BULL_TRIMMED,BULL_TRIMMED,13.03,473.19,8.67,35.36,YES,0.0,0.0,0.0,0.0,365614.9,365614.9,0.0,databento
2023-12-26,BULL_TRIMMED,BULL_TRIMMED,12.99,475.81,8.55,36.35,YES,0.0,0.0,0.0,0.0,370642.67,370642.67,0.0,databento
2023-12-27,BULL_TRIMMED,BULL_TRIMMED,12.43,476.55,8.53,37.73,YES,0.0,0.0,0.0,0.0,371955.65,371955.65,0.0,databento
2023-12-28,BULL_TRIMMED,BULL_TRIMMED,12.47,477.0,8.52,37.8,YES,0.0,0.0,0.0,0.0,372057.82,372057.82,0.0,databento
2023-12-29,BULL_TRIMMED,BULL_TRIMMED,12.45,475.25,8.62,37.68,YES,0.0,0.0,0.0,0.0,368009.07,368009.07,0.0,databento
2024-01-02,BULL_TRIMMED,BULL_TRIMMED,13.2,472.64,8.76,37.84,YES,0.0,0.0,0.0,0.0,361619.48,361619.48,0.0,databento
2024-01-03,BULL_TRIMMED,BULL_TRIMMED,14.04,469.08,8.96,36.46,YES,0.0,0.0,0.0,0.0,354705.34,354705.34,0.0,databento
2024-01-04,BULL_100,BULL_100,14.13,467.84,9.04,36.52,YES,0.0,0.0,0.0,0.0,350918.41,350918.41,0.0,databento
2024-01-05,BULL_100,BULL_100,13.35,468.35,9.03,37.43,YES,0.0,0.0,0.0,0.0,351213.14,351213.14,0.0,databento
2024-01-08,BULL_100,BULL_100,13.08,474.21,8.69,38.4,YES,0.0,0.0,0.0,0.0,366436.83,366436.83,0.0,databento
2024-01-09,BULL_100,BULL_100,12.76,473.77,8.72,39.32,YES,0.0,0.0,0.0,0.0,366080.67,366080.67,0.0,databento
2024-01-10,BULL_100,BULL_100,12.69,476.8,8.56,39.77,YES,0.0,0.0,0.0,0.0,373663.87,373663.87,0.0,databento
2024-01-11,BULL_100,BULL_100,12.44,476.05,8.62,39.83,YES,0.0,0.0,0.0,0.0,371702.79,371702.79,0.0,databento
2024-01-12,BULL_100,BULL_100,12.7,475.7,8.61,39.05,YES,0.0,0.0,0.0,0.0,371602.55,371602.55,0.0,databento
2024-01-16,BULL_100,BULL_100,13.84,475.08,8.67,37.94,YES,0.0,0.0,0.0,0.0,370544.18,370544.18,0.0,databento
2024-01-17,BULL_100,BULL_100,14.79,472.2,8.84,36.67,YES,0.0,0.0,0.0,0.0,363412.07,363412.07,0.0,databento
2024-01-18,BULL_100,BULL_100,14.13,476.88,8.59,37.6,YES,0.0,0.0,0.0,0.0,375797.65,375797.65,0.0,databento
2024-01-19,BULL_100,BULL_100,13.3,482.44,8.27,38.51,YES,0.0,0.0,0.0,0.0,391103.1,391103.1,0.0,databento
2024-01-22,BULL_100,BULL_100,13.19,483.63,8.24,39.93,YES,0.0,0.0,0.0,0.0,392757.28,392757.28,0.0,databento
2024-01-23,BULL_100,BULL_100,12.55,485.83,8.13,40.96,YES,0.0,0.0,0.0,0.0,398636.18,398636.18,0.0,databento
2024-01-24,BULL_100,BULL_100,13.14,485.34,8.15,39.86,YES,0.0,0.0,0.0,0.0,398449.02,398449.02,0.0,databento
2024-01-25,BULL_100,BULL_100,13.45,487.09,8.07,39.75,YES,0.0,0.0,0.0,0.0,399894.88,399894.88,0.0,databento
2024-01-26,BULL_100,BULL_100,13.26,486.95,8.09,39.65,YES,0.0,0.0,0.0,0.0,399336.7,399336.7,0.0,databento
2024-01-29,BULL_100,BULL_100,13.6,491.09,7.88,39.41,YES,0.0,0.0,0.0,0.0,410117.04,410117.04,0.0,databento
2024-01-30,BULL_TRIMMED,BULL_TRIMMED,13.31,488.91,8.0,39.99,YES,0.0,0.0,0.0,0.0,403457.27,403457.27,0.0,databento
2024-01-31,BULL_TRIMMED,BULL_TRIMMED,14.35,483.7,8.25,37.83,YES,0.0,0.0,0.0,0.0,393869.13,393869.13,0.0,databento
2024-02-01,BULL_100,BULL_100,13.88,491.64,7.86,38.93,YES,0.0,0.0,0.0,0.0,412568.77,412568.77,0.0,databento
2024-02-02,BULL_100,BULL_100,13.85,494.27,7.73,38.26,YES,0.0,0.0,0.0,0.0,419796.67,419796.67,0.0,databento
2024-02-05,BULL_100,BULL_100,13.67,492.17,7.83,39.69,YES,0.0,0.0,0.0,0.0,415227.07,415227.07,0.0,databento
2024-02-06,BULL_100,BULL_100,13.06,493.79,7.76,40.7,YES,0.0,0.0,0.0,0.0,417493.4,417493.4,0.0,databento
2024-02-07,BULL_100,BULL_100,12.83,497.9,7.58,40.89,YES,0.0,0.0,0.0,0.0,428027.82,428027.82,0.0,databento
2024-02-08,BULL_100,BULL_100,12.79,498.25,7.57,40.89,YES,0.0,0.0,0.0,0.0,429067.53,429067.53,0.0,databento
2024-02-09,BULL_100,BULL_100,12.93,501.0,7.45,40.68,YES,0.0,0.0,0.0,0.0,437265.67,437265.67,0.0,databento
2024-02-12,BULL_100,BULL_100,13.93,500.55,7.48,39.8,YES,0.0,0.0,0.0,0.0,434284.06,434284.06,0.0,databento
2024-02-13,BULL_100,BULL_100,15.85,494.26,7.76,37.4,YES,0.0,0.0,0.0,0.0,417651.08,417651.08,0.0,databento
2024-02-14,BULL_100,BULL_100,14.38,498.95,7.55,39.0,YES,0.0,0.0,0.0,0.0,429521.88,429521.88,0.0,databento
2024-02-15,BULL_100,BULL_100,14.01,502.2,7.41,38.99,YES,0.0,0.0,0.0,0.0,436746.3,436746.3,0.0,databento
2024-02-16,BULL_100,BULL_100,14.24,498.76,7.56,39.06,YES,0.0,0.0,0.0,0.0,426241.56,426241.56,0.0,databento
2024-02-20,BULL_100,BULL_100,15.42,496.33,7.66,37.85,YES,0.0,0.0,0.0,0.0,418376.72,418376.72,0.0,databento
