date,step2_state,step3_state,spy_close,vix,spxu_close,spxu_shares,spxu_value,cash,portfolio_value,data_source
2019-06-03,CASH,CASH_IDLE,274.57,18.86,34.25,0.0,0.0,90601.34,90601.34,polygon
2019-06-04,CASH,CASH_IDLE,280.53,16.97,31.98,0.0,0.0,90601.34,90601.34,polygon
2019-06-05,SMA_RECOVERY,INACTIVE,282.96,16.09,31.66,0.0,0.0,90601.34,90601.34,polygon
2019-06-06,BULL_100,INACTIVE,284.8,15.93,30.92,0.0,0.0,90601.34,90601.34,polygon
2019-06-07,BULL_100,INACTIVE,287.65,16.3,29.85,0.0,0.0,90601.34,90601.34,polygon
2019-06-10,DEFENSIVE_QQQ,INACTIVE,288.97,15.94,29.54,0.0,0.0,90601.34,90601.34,polygon
2019-06-11,DEFENSIVE_QQQ,INACTIVE,288.9,15.99,29.55,0.0,0.0,90601.34,90601.34,polygon
2019-06-12,DEFENSIVE_QQQ,INACTIVE,288.39,15.91,29.6,0.0,0.0,90601.34,90601.34,polygon
2019-06-13,DEFENSIVE_QQQ,INACTIVE,289.58,15.82,29.34,0.0,0.0,90601.34,90601.34,polygon
2019-06-14,DEFENSIVE_QQQ,INACTIVE,289.26,15.28,29.36,0.0,0.0,90601.34,90601.34,polygon
2019-06-17,DEFENSIVE_QQQ,INACTIVE,289.37,15.35,29.45,0.0,0.0,90601.34,90601.34,polygon
2019-06-18,DEFENSIVE_QQQ,INACTIVE,292.4,15.15,28.44,0.0,0.0,90601.34,90601.34,polygon
2019-06-19,BULL_100,INACTIVE,293.06,14.33,28.08,0.0,0.0,90601.34,90601.34,polygon
2019-06-20,BULL_100,INACTIVE,295.86,14.75,27.59,0.0,0.0,90601.34,90601.34,polygon
2019-06-21,BULL_100,INACTIVE,294.0,15.4,27.98,0.0,0.0,90601.34,90601.34,polygon
2019-06-24,BULL_100,INACTIVE,293.64,15.26,27.78,0.0,0.0,90601.34,90601.34,polygon
2019-06-25,BULL_100,INACTIVE,290.76,16.28,28.42,0.0,0.0,90601.34,90601.34,polygon
2019-06-26,BULL_100,INACTIVE,290.47,16.21,28.65,0.0,0.0,90601.34,90601.34,polygon
2019-06-27,BULL_100,INACTIVE,291.5,15.82,28.06,0.0,0.0,90601.34,90601.34,polygon
2019-06-28,BULL_100,INACTIVE,293.0,15.08,27.52,0.0,0.0,90601.34,90601.34,polygon
2019-07-01,BULL_100,INACTIVE,295.66,14.06,27.24,0.0,0.0,90601.34,90601.34,polygon
2019-07-02,BULL_100,INACTIVE,296.43,12.93,26.88,0.0,0.0,90601.34,90601.34,polygon
2019-07-03,BULL_100,INACTIVE,298.8,12.57,26.32,0.0,0.0,90601.34,90601.34,polygon
2019-07-05,BULL_100,INACTIVE,298.46,13.28,26.5,0.0,0.0,90601.34,90601.34,polygon
2019-07-08,BULL_100,INACTIVE,296.82,13.96,26.88,0.0,0.0,90601.34,90601.34,polygon
2019-07-09,BULL_100,INACTIVE,297.19,14.09,26.8,0.0,0.0,90601.34,90601.34,polygon
2019-07-10,BULL_100,INACTIVE,298.61,13.03,26.33,0.0,0.0,90601.34,90601.34,polygon
2019-07-11,BULL_100,INACTIVE,299.31,12.93,26.17,0.0,0.0,90601.34,90601.34,polygon
2019-07-12,BULL_100,INACTIVE,300.65,12.39,25.91,0.0,0.0,90601.34,90601.34,polygon
2019-07-15,BULL_100,INACTIVE,300.75,12.68,25.81,0.0,0.0,90601.34,90601.34,polygon
2019-07-16,BULL_100,INACTIVE,299.71,12.86,26.12,0.0,0.0,90601.34,90601.34,polygon
2019-07-17,BULL_100,INACTIVE,297.74,13.97,26.72,0.0,0.0,90601.34,90601.34,polygon
2019-07-18,BULL_100,INACTIVE,298.83,13.53,26.21,0.0,0.0,90601.34,90601.34,polygon
2019-07-19,BULL_100,INACTIVE,297.17,14.45,26.99,0.0,0.0,90601.34,90601.34,polygon
2019-07-22,BULL_100,INACTIVE,297.9,13.53,26.61,0.0,0.0,90601.34,90601.34,polygon
2019-07-23,BULL_100,INACTIVE,300.03,12.61,26.16,0.0,0.0,90601.34,90601.34,polygon
2019-07-24,BULL_100,INACTIVE,301.44,12.07,25.71,0.0,0.0,90601.34,90601.34,polygon
2019-07-25,BULL_100,INACTIVE,300.0,12.74,26.01,0.0,0.0,90601.34,90601.34,polygon
2019-07-26,BULL_100,INACTIVE,302.01,12.16,25.67,0.0,0.0,90601.34,90601.34,polygon
2019-07-29,BULL_100,INACTIVE,301.46,12.83,25.64,0.0,0.0,90601.34,90601.34,polygon
2019-07-30,BULL_100,INACTIVE,300.72,13.94,25.81,0.0,0.0,90601.34,90601.34,polygon
2019-07-31,BULL_100,INACTIVE,297.43,16.12,26.9,0.0,0.0,90601.34,90601.34,polygon
2019-08-01,BULL_100,INACTIVE,294.84,17.87,27.66,0.0,0.0,90601.34,90601.34,polygon
2019-08-02,BULL_100,INACTIVE,292.62,17.61,27.97,0.0,0.0,90601.34,90601.34,polygon
2019-08-05,BULL_100,INACTIVE,283.82,24.59,32.53,0.0,0.0,90601.34,90601.34,polygon
2019-08-06,BULL_100,INACTIVE,287.8,20.17,29.73,0.0,0.0,90601.34,90601.34,polygon
2019-08-07,DEFENSIVE_BOTH,INACTIVE,287.97,19.49,29.53,0.0,0.0,90601.34,90601.34,polygon
2019-08-08,DEFENSIVE_BOTH,INACTIVE,293.62,16.91,27.77,0.0,0.0,90601.34,90601.34,polygon
2019-08-09,DEFENSIVE_BOTH,INACTIVE,291.62,17.97,28.07,0.0,0.0,90601.34,90601.34,polygon
2019-08-12,DEFENSIVE_BOTH,INACTIVE,288.07,21.09,29.2,0.0,0.0,90601.34,90601.34,polygon
2019-08-13,DEFENSIVE_BOTH,INACTIVE,292.55,17.52,27.71,0.0,0.0,90601.34,90601.34,polygon
2019-08-14,DEFENSIVE_BOTH,INACTIVE,283.9,22.1,30.49,0.0,0.0,90601.34,90601.34,polygon
2019-08-15,DEFENSIVE_BOTH,INACTIVE,284.65,21.18,29.87,0.0,0.0,90601.34,90601.34,polygon
2019-08-16,DEFENSIVE_BOTH,INACTIVE,288.85,18.47,28.7,0.0,0.0,90601.34,90601.34,polygon
2019-08-19,DEFENSIVE_BOTH,INACTIVE,292.33,16.88,27.9,0.0,0.0,90601.34,90601.34,polygon
2019-08-20,DEFENSIVE_BOTH,INACTIVE,290.09,17.5,28.49,0.0,0.0,90601.34,90601.34,polygon
2019-08-21,DEFENSIVE_BOTH,INACTIVE,292.45,15.8,27.45,0.0,0.0,90601.34,90601.34,polygon
2019-08-22,DEFENSIVE_BOTH,INACTIVE,292.36,16.68,27.82,0.0,0.0,90601.34,90601.34,polygon
2019-08-23,DEFENSIVE_BOTH,INACTIVE,284.85,19.87,29.98,0.0,0.0,90601.34,90601.34,polygon
2019-08-26,DEFENSIVE_BOTH,INACTIVE,288.0,19.32,29.0,0.0,0.0,90601.34,90601.34,polygon
2019-08-27,DEFENSIVE_BOTH,INACTIVE,286.87,20.31,29.12,0.0,0.0,90601.34,90601.34,polygon
2019-08-28,DEFENSIVE_BOTH,INACTIVE,288.89,19.35,28.68,0.0,0.0,90601.34,90601.34,polygon
2019-08-29,DEFENSIVE_BOTH,INACTIVE,292.58,17.88,27.65,0.0,0.0,90601.34,90601.34,polygon
2019-08-30,DEFENSIVE_BOTH,INACTIVE,292.45,18.98,27.56,0.0,0.0,90601.34,90601.34,polygon
