date,state,spy_close,upro_close,vix,shares_held,cash_held,portfolio_value,upro_allocation_pct,data_source
2012-07-13,BULL_100,135.75,3.1417,16.74,28377.1327,829.17,89981.61,99.1,polygon
2012-07-16,BULL_100,135.43,3.1155,17.11,28377.1327,829.17,89238.13,99.1,polygon
2012-07-17,BULL_100,136.36,3.1825,16.48,28377.1327,829.17,91139.4,99.1,polygon
2012-07-18,BULL_100,137.37,3.255,16.16,28377.1327,829.17,93196.74,99.1,polygon
2012-07-19,BULL_100,137.73,3.2771,15.45,28377.1327,829.17,93823.87,99.1,polygon
2012-07-20,BULL_100,136.47,3.1883,16.27,28377.1327,829.17,91303.98,99.1,polygon
2012-07-23,BULL_100,135.09,3.0909,18.62,28377.1327,829.17,88540.05,99.1,polygon
2012-07-24,BULL_100,133.93,3.015,20.47,28377.1327,829.17,86386.23,99.0,polygon
2012-07-25,BULL_100,133.96,3.0125,19.34,28377.1327,829.17,86315.28,99.0,polygon
2012-07-26,BULL_100,136.17,3.1605,17.53,28377.1327,829.17,90515.1,99.1,polygon
2012-07-27,BULL_100,138.68,3.3413,16.7,28377.1327,829.17,95645.69,99.1,polygon
2012-07-30,BULL_100,138.68,3.3338,18.03,28377.1327,829.17,95432.86,99.1,polygon
2012-07-31,BULL_100,137.71,3.288,18.93,28377.1327,829.17,94133.18,99.1,polygon
2012-08-01,BULL_100,137.59,3.263,18.96,28377.1327,829.17,93423.76,99.1,polygon
2012-08-02,BULL_100,136.64,3.1908,17.57,28377.1327,829.17,91374.93,99.1,polygon
2012-08-03,BULL_100,139.35,3.3796,15.64,28377.1327,829.17,96732.53,99.1,polygon
2012-08-06,BULL_100,139.62,3.3963,15.95,28377.1327,829.17,97206.43,99.1,polygon
2012-08-07,BULL_100,140.32,3.4475,15.99,28377.1327,829.17,98659.34,99.2,polygon
2012-08-08,BULL_100,140.49,3.4625,15.32,28377.1327,829.17,99084.99,99.2,polygon
2012-08-09,BULL_100,140.61,3.4721,15.28,28377.1327,829.17,99357.41,99.2,polygon
2012-08-10,BULL_100,140.84,3.4875,14.74,28377.1327,829.17,99794.42,99.2,polygon
2012-08-13,BULL_100,140.77,3.4825,13.7,28377.1327,829.17,99652.54,99.2,polygon
2012-08-14,BULL_100,140.79,3.4855,14.85,28377.1327,829.17,99737.67,99.2,polygon
2012-08-15,BULL_100,140.95,3.4946,14.63,28377.1327,829.17,99995.9,99.2,polygon
2012-08-16,BULL_100,141.99,3.57,14.29,28377.1327,829.17,102135.54,99.2,polygon
2012-08-17,BULL_100,142.18,3.5876,13.45,28377.1327,829.17,102634.97,99.2,polygon
2012-08-20,BULL_100,142.19,3.5888,14.02,28377.1327,829.17,102669.03,99.2,polygon
2012-08-21,BULL_100,141.76,3.5559,15.02,28377.1327,829.17,101735.42,99.2,polygon
2012-08-22,BULL_100,141.82,3.5559,15.11,28377.1327,829.17,101735.42,99.2,polygon
2012-08-23,BULL_100,140.66,3.473,15.96,28377.1327,829.17,99382.95,99.2,polygon
2012-08-24,BULL_100,141.51,3.5367,15.18,28377.1327,829.17,101190.58,99.2,polygon
2012-08-27,BULL_100,141.54,3.5367,16.35,28377.1327,829.17,101190.58,99.2,polygon
2012-08-28,BULL_100,141.4,3.5259,16.49,28377.1327,829.17,100884.1,99.2,polygon
2012-08-29,BULL_100,141.51,3.533,17.06,28377.1327,829.17,101085.58,99.2,polygon
2012-08-30,BULL_100,140.49,3.4567,17.83,28377.1327,829.17,98920.41,99.2,polygon
2012-08-31,BULL_100,141.16,3.5025,17.47,28377.1327,829.17,100220.08,99.2,polygon
2012-09-04,BULL_100,141.03,3.4859,17.98,28377.1327,829.17,99749.02,99.2,polygon
2012-09-05,BULL_100,140.91,3.4871,17.74,28377.1327,829.17,99783.07,99.2,polygon
2012-09-06,BULL_100,143.77,3.6967,15.6,28377.1327,829.17,105730.92,99.2,polygon
2012-09-07,BULL_100,144.33,3.7459,14.38,28377.1327,829.17,107127.07,99.2,polygon
2012-09-10,BULL_100,143.51,3.6809,16.28,28377.1327,829.17,105282.56,99.2,polygon
2012-09-11,BULL_100,143.91,3.7092,16.41,28377.1327,829.17,106085.63,99.2,polygon
2012-09-12,BULL_100,144.39,3.7446,15.8,28377.1327,829.17,107090.18,99.2,polygon
2012-09-13,BULL_100,146.59,3.9246,14.05,28377.1327,829.17,112198.07,99.3,polygon
2012-09-14,BULL_100,147.24,3.973,14.51,28377.1327,829.17,113571.52,99.3,polygon
2012-09-17,BULL_TRIMMED,146.74,3.9375,14.59,21440.351,28169.99,112591.37,75.0,polygon
2012-09-18,BULL_TRIMMED,146.62,3.9234,14.18,21440.351,28169.99,112289.06,74.9,polygon
2012-09-19,BULL_TRIMMED,146.7,3.9296,13.88,21440.351,28169.99,112421.99,74.9,polygon
2012-09-20,BULL_TRIMMED,146.71,3.9292,14.07,21440.351,28169.99,112413.41,74.9,polygon
2012-09-21,BULL_TRIMMED,145.87,3.9209,13.98,21440.351,28169.99,112235.46,74.9,polygon
2012-09-24,BULL_TRIMMED,145.65,3.9038,14.15,21440.351,28169.99,111868.83,74.8,polygon
2012-09-25,BULL_TRIMMED,144.1,3.7836,15.43,21440.351,28169.99,109291.7,74.2,polygon
2012-09-26,BULL_100,143.29,3.7163,16.81,28602.0447,1042.99,107336.77,99.0,polygon
2012-09-27,BULL_100,144.64,3.8255,14.84,28602.0447,1042.99,110460.11,99.1,polygon
2012-09-28,BULL_100,143.97,3.7659,15.73,28602.0447,1042.99,108755.43,99.0,polygon
2012-10-01,BULL_100,144.34,3.7909,16.32,28602.0447,1042.99,109470.48,99.0,polygon
2012-10-02,BULL_100,144.5,3.8075,15.71,28602.0447,1042.99,109945.27,99.1,polygon
2012-10-03,BULL_100,145.09,3.8538,15.43,28602.0447,1042.99,111269.55,99.1,polygon
2012-10-04,BULL_100,146.12,3.9406,14.55,28602.0447,1042.99,113752.21,99.1,polygon
2012-10-05,BULL_100,146.14,3.9359,14.33,28602.0447,1042.99,113617.78,99.1,polygon
2012-10-08,BULL_100,145.64,3.8938,15.11,28602.0447,1042.99,112413.63,99.1,polygon
2012-10-09,BULL_100,144.2,3.7817,16.37,28602.0447,1042.99,109207.34,99.0,polygon
2012-10-10,BULL_100,143.28,3.7142,16.29,28602.0447,1042.99,107276.7,99.0,polygon
